requirement_id,title,phase,verification,tests,status,traceable,qualification,evidence
SYS-001,Identical estimator inputs,G4,inspection_and_replay,T-PAIR-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
SYS-002,Required execution modes,G10,demonstration,T-MODE-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.json;.github/workflows/ghost-x-regression.yml
SYS-003,Required outputs,G2,schema_test,T-SCHEMA-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G2_DATA_CONTRACTS.md;ghost_sim_ros2/docs/GHOST_X_G2_VALIDATION.json;ghost_sim_ros2/docs/GHOST_X_G2_RUNTIME_VALIDATION.json
SYS-004,No-purchase completion path,G12,inspection,T-PLAN-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_FINAL_RESEARCH_PACKAGE.md;ghost_sim_ros2/docs/GHOST_X_FAILURE_GALLERY.md;ghost_sim_ros2/docs/GHOST_X_APPROVED_CLAIMS.md
EST-001,Formal IMM estimator,G5,unit_test_and_review,T-IMM-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
EST-002,GHOST multi-hypothesis estimator,G5,unit_test_and_review,T-MH-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
EST-003,Independent baseline estimator,G4,replay_comparison,T-BASE-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
EST-004,Deterministic configuration,G10,repeated_replay,T-DET-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G10_CI_REPORT.json;.github/workflows/ghost-x-regression.yml
EST-005,Covariance mathematical integrity,G5,property_test,T-COV-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
EST-006,C++ and Python equivalence,G5,equivalence_test,T-EQUIV-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G5_CPP_LIBRARY.md;ghost_sim_ros2/docs/GHOST_X_G5_EQUIVALENCE.json;ghost_sim_ros2/docs/GHOST_X_G5_VALIDATION.json
DAT-001,Frame and unit contract,G2,schema_and_document_review,T-FRAME-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G2_DATA_CONTRACTS.md;ghost_sim_ros2/docs/GHOST_X_G2_VALIDATION.json;ghost_sim_ros2/docs/GHOST_X_G2_RUNTIME_VALIDATION.json
DAT-002,Timestamp contract,G2,schema_and_timing_test,T-TIME-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G2_DATA_CONTRACTS.md;ghost_sim_ros2/docs/GHOST_X_G2_VALIDATION.json;ghost_sim_ros2/docs/GHOST_X_G2_RUNTIME_VALIDATION.json
DAT-003,Calibration provenance,G2,manifest_test,T-CALID-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G2_DATA_CONTRACTS.md;ghost_sim_ros2/docs/GHOST_X_G2_VALIDATION.json;ghost_sim_ros2/docs/GHOST_X_G2_RUNTIME_VALIDATION.json
DAT-004,Stale and invalid data behavior,G8,fault_test,T-DATAFAULT-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.json
VNV-001,Controlled truth uncertainty,G4,protocol_review,T-TRUTH-001,PROTOCOL_VERIFIED_EXECUTION_PENDING,True,"Truth method and uncertainty contracts exist, but formal physical execution remains pending.",ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
VNV-002,Paired physical campaign,G4,campaign_audit,T-CAMPAIGN-001,PHYSICAL_CAMPAIGN_PENDING,True,"The digital protocol, capture tooling, and synthetic campaign are complete; the required controlled physical trials have not been collected.",ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
VNV-003,Position accuracy,G4,paired_statistics,T-ACCURACY-001,PHYSICAL_CAMPAIGN_PENDING,True,"The digital protocol, capture tooling, and synthetic campaign are complete; the required controlled physical trials have not been collected.",ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
VNV-004,Velocity accuracy,G4,paired_statistics,T-VELOCITY-001,PHYSICAL_CAMPAIGN_PENDING,True,"The digital protocol, capture tooling, and synthetic campaign are complete; the required controlled physical trials have not been collected.",ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
VNV-005,Reacquisition performance,G4,paired_statistics,T-REACQ-001,PHYSICAL_CAMPAIGN_PENDING,True,"The digital protocol, capture tooling, and synthetic campaign are complete; the required controlled physical trials have not been collected.",ghost_sim_ros2/docs/GHOST_X_G4_CONTROLLED_TRUTH.md;ghost_sim_ros2/docs/GHOST_X_G4_VALIDATION.json;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.md;ghost_sim_ros2/docs/GHOST_GUIDED_HARDWARE_VALIDATION_20260716.json
VNV-006,False-track control,G8,campaign_and_fault_statistics,T-FALSE-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.json
VNV-007,Dropout uncertainty growth,G6,replay_analysis,T-DROPOUT-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.md;ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.json
CON-001,Innovation and NIS analysis,G6,consistency_report,T-NIS-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.md;ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.json
CON-002,Conditional NEES analysis,G6,consistency_report,T-NEES-001,QUALIFIED_SOFTWARE_OR_BENCH_EVIDENCE,True,Evidence exists with explicit assumption and bench boundaries; physical truth or hard-real-time certification is not implied.,ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.md;ghost_sim_ros2/docs/GHOST_X_G6_CONSISTENCY.json
FDIR-001,Fault coverage,G8,fault_campaign,T-FAULT-001,SOFTWARE_VERIFIED,True,Mapped software tests and immutable repository evidence are present.,ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.md;ghost_sim_ros2/docs/GHOST_X_G8_FAULT_REPORT.json
